,returns,positions,transactions,gross_lev
2008-10-31 00:00:00,0.002012858675241258,,,
2008-11-03 00:00:00,0.0015701555653149235,,,
2008-11-04 00:00:00,0.0009051079503681336,,,
2008-11-05 00:00:00,-0.0017727958647032471,,,
2008-11-06 00:00:00,-0.0008393231337734397,,,
2008-11-07 00:00:00,-1.3838170286439855e-05,,,
2008-11-10 00:00:00,0.0,,,
2008-11-11 00:00:00,0.0,,,
2008-11-12 00:00:00,0.0,,,
2008-11-14 00:00:00,-0.0006627037698772043,,,
2008-11-17 00:00:00,-0.0003051587210003426,,,
2008-11-18 00:00:00,-0.001103010963415918,,,
2008-11-19 00:00:00,-0.0006887307016733013,,,
2008-11-20 00:00:00,-0.0004512470711340866,,,
2008-11-21 00:00:00,0.0014304511268530273,,,
2008-11-24 00:00:00,-0.00021051302023034069,,,
2008-11-25 00:00:00,0.0,,,
2008-11-26 00:00:00,0.0007806028410861643,,,
2008-11-28 00:00:00,3.592077519076753e-05,,,
2008-12-01 00:00:00,-0.0006850358912624532,,,
2008-12-02 00:00:00,-0.0002546896791115749,,,
2008-12-03 00:00:00,-0.00015511265698742172,,,
2008-12-04 00:00:00,0.0014373263059481722,,,
2008-12-05 00:00:00,-5.027012497782479e-05,,,
2008-12-08 00:00:00,0.0,,,
2008-12-10 00:00:00,0.0,,,
2008-12-11 00:00:00,0.0,,,
2008-12-12 00:00:00,0.0,,,
2008-12-15 00:00:00,0.0,,,
2008-12-16 00:00:00,0.0,,,
2008-12-17 00:00:00,0.0,,,
2008-12-18 00:00:00,0.0,,,
2008-12-19 00:00:00,0.0,,,
2008-12-22 00:00:00,0.0,,,
2008-12-23 00:00:00,0.0,,,
2008-12-24 00:00:00,-0.00034677870286281554,,,
2008-12-26 00:00:00,-0.0006691661184363706,,,
2008-12-29 00:00:00,0.0006839924206245573,,,
2008-12-30 00:00:00,0.00039564391431934354,,,
2008-12-31 00:00:00,-0.00010002600676173312,,,
2009-01-01 00:00:00,0.0007541176361951507,,,
2009-01-02 00:00:00,0.000157886534944085,,,
2009-01-05 00:00:00,0.0,,,
2009-01-06 00:00:00,0.0,,,
2009-01-07 00:00:00,0.0,,,
2009-01-09 00:00:00,-0.00015888668611574452,,,
2009-01-12 00:00:00,-0.001023187814427784,,,
2009-01-13 00:00:00,-8.928708877908864e-05,,,
2009-01-14 00:00:00,0.0009509410878396629,,,
2009-01-15 00:00:00,-0.001116665957428209,,,
2009-01-16 00:00:00,0.0008710287223903102,,,
2009-01-19 00:00:00,-1.5384867855239293e-06,,,
2009-01-20 00:00:00,0.0,,,
2009-01-21 00:00:00,0.0,,,
2009-01-22 00:00:00,-0.00021231150302691848,,,
2009-01-23 00:00:00,-0.0002831421183645544,,,
2009-01-27 00:00:00,0.0009230379287008539,,,
2009-01-28 00:00:00,0.0008570851518199252,,,
2009-01-29 00:00:00,-0.0004799049409208722,,,
2009-01-30 00:00:00,0.000684077594383492,,,
2009-02-02 00:00:00,2.5603368993820652e-06,,,
2009-02-03 00:00:00,0.0,,,
2009-02-04 00:00:00,0.0,,,
2009-02-05 00:00:00,0.0,,,
2009-02-06 00:00:00,0.0,,,
2009-02-09 00:00:00,0.0,,,
2009-02-10 00:00:00,0.0,,,
2009-02-11 00:00:00,0.0,,,
2009-02-12 00:00:00,0.0,,,
2009-02-13 00:00:00,0.0,,,
2009-02-16 00:00:00,0.0,,,
2009-02-17 00:00:00,0.0,,,
2009-02-18 00:00:00,5.581520150044206e-05,,,
2009-02-19 00:00:00,0.000178189046289301,,,
2009-02-20 00:00:00,-0.0004725264036287147,,,
2009-02-24 00:00:00,-0.00016492462893225035,,,
2009-02-25 00:00:00,0.00028584820845400927,,,
2009-02-26 00:00:00,0.0003129092209892548,,,
2009-02-27 00:00:00,-3.993336248131474e-05,,,
2009-03-02 00:00:00,0.0,,,
2009-03-03 00:00:00,-0.0005688171470467074,,,
2009-03-04 00:00:00,0.0003263211009878475,,,
2009-03-05 00:00:00,-0.0007825054719050595,,,
2009-03-06 00:00:00,0.00045664815131818415,,,
2009-03-09 00:00:00,-0.00042314164743495475,,,
2009-03-12 00:00:00,0.00024446005845524255,,,
2009-03-13 00:00:00,0.00016242117193265848,,,
2009-03-16 00:00:00,0.0,,,
2009-03-17 00:00:00,0.0,,,
2009-03-18 00:00:00,0.0,,,
2009-03-19 00:00:00,0.0,,,
2009-03-20 00:00:00,0.0,,,
2009-03-23 00:00:00,0.0,,,
2009-03-24 00:00:00,0.0,,,
2009-03-25 00:00:00,0.0,,,
2009-03-26 00:00:00,0.0,,,
2009-03-27 00:00:00,0.0,,,
2009-03-30 00:00:00,0.0,,,
2009-03-31 00:00:00,0.0,,,
2009-04-01 00:00:00,0.0,,,
2009-04-02 00:00:00,0.0,,,
2009-04-06 00:00:00,0.0,,,
2009-04-08 00:00:00,0.0,,,
2009-04-09 00:00:00,0.0,,,
2009-04-13 00:00:00,0.0,,,
2009-04-15 00:00:00,0.0,,,
2009-04-16 00:00:00,0.0,,,
2009-04-17 00:00:00,0.0,,,
