YYYYMMDD,OPEN,HIGH,LOW,CLOSE
2015-01-07,8130.55,8151.2,8065.45,8118.3
2015-01-08,8196.45,8243.5,8167.3,8230.6
2015-01-09,8285.15,8303.3,8190.8,8280.25
2015-01-12,8292.3,8332.6,8245.6,8326.55
2015-01-13,8339.95,8356.65,8267.9,8303.8
2015-01-14,8308.2,8326.45,8236.65,8287.75
2015-01-15,8427.4,8527.1,8380.55,8461.15
2015-01-16,8506.05,8526.15,8452.25,8514.7
2015-01-19,8557.95,8570.95,8531.5,8550.3
2015-01-20,8581.8,8707.9,8574.5,8691.25
2015-01-21,8717.1,8741.85,8689.6,8728.05
2015-01-22,8747.4,8774.15,8727.0,8762.2
2015-01-23,8828.8,8866.4,8795.4,8823.55
2015-01-27,8873.5,8925.05,8825.45,8904.2
2015-01-28,8904.85,8985.05,8874.05,8906.8
2015-01-29,8902.05,8966.65,8861.25,8950.2
2015-01-30,8996.55,8996.55,8775.1,8821.45
2015-02-02,8802.65,8840.8,8751.1,8798.15
2015-02-03,8823.6,8837.3,8726.65,8746.65
2015-02-04,8789.65,8792.85,8704.4,8713.95
2015-02-05,8734.3,8838.45,8683.65,8699.4
2015-02-06,8696.8,8726.2,8645.55,8666.0
2015-02-09,8586.75,8605.55,8516.35,8518.3
2015-02-10,8482.1,8646.25,8470.5,8578.85
2015-02-11,8610.5,8651.95,8593.65,8635.5
2015-02-12,8677.45,8732.55,8599.25,8728.4
2015-02-13,8742.55,8822.1,8729.65,8803.05
2015-02-16,8831.75,8870.1,8793.4,8808.7
2015-02-18,8824.1,8894.3,8808.9,8865.25
2015-02-19,8883.0,8913.45,8794.45,8898.35
2015-02-20,8895.95,8899.95,8816.3,8827.7
2015-02-23,8860.25,8869.0,8736.1,8742.8
2015-02-24,8775.55,8800.5,8726.75,8760.8
2015-02-25,8802.85,8840.65,8751.4,8765.25
2015-02-26,8782.65,8786.05,8669.45,8694.65
2015-02-27,8732.5,8856.95,8717.45,8850.65
2015-02-28,8916.55,8941.1,8751.35,8920.75
2015-03-02,8956.05,8972.35,8885.45,8961.55
2015-03-03,8966.1,9008.4,8925.55,8996.75
2015-03-04,9115.4,9119.2,8893.95,8918.4
2015-03-05,8935.15,8957.55,8849.35,8937.75
2015-03-09,8891.3,8891.3,8740.45,8743.25
2015-03-10,8769.95,8778.0,8677.35,8725.6
2015-03-11,8730.8,8755.6,8682.35,8701.8
2015-03-12,8740.0,8787.2,8732.9,8771.4
2015-03-13,8849.75,8849.75,8631.75,8661.1
2015-03-16,8663.55,8663.55,8612.0,8639.6
2015-03-17,8687.35,8742.55,8630.8,8722.35
2015-03-18,8741.5,8747.25,8664.0,8680.9
2015-03-19,8753.45,8788.2,8614.65,8622.9
2015-03-20,8622.75,8626.85,8553.0,8584.85
2015-03-23,8596.45,8608.35,8540.55,8550.95
2015-03-24,8542.25,8627.75,8535.85,8549.9
2015-03-25,8570.5,8573.75,8516.55,8517.0
2015-03-26,8469.15,8499.45,8325.35,8382.3
2015-03-27,8410.1,8413.2,8269.15,8348.05
2015-03-30,8392.0,8504.55,8380.75,8501.35
2015-03-31,8527.9,8550.45,8454.15,8480.9
2015-04-01,8479.75,8603.4,8464.75,8590.3
2015-04-06,8619.15,8667.55,8573.75,8652.0
2015-04-07,8687.5,8693.6,8586.85,8676.9
2015-04-08,8701.0,8730.5,8679.8,8717.35
2015-04-09,8758.1,8785.5,8682.45,8774.25
2015-04-10,8775.55,8787.4,8733.6,8767.55
2015-04-13,8803.7,8841.65,8762.1,8825.9
2015-04-15,8844.8,8844.8,8722.4,8735.5
2015-04-16,8757.0,8760.0,8645.65,8693.25
2015-04-17,8699.85,8699.85,8596.7,8602.05
2015-04-20,8612.15,8619.95,8422.75,8443.0
2015-04-21,8419.5,8469.35,8352.7,8398.1
2015-04-22,8406.3,8449.95,8284.7,8436.5
2015-04-23,8479.7,8504.95,8361.85,8387.95
2015-04-24,8410.55,8413.3,8273.35,8320.15
2015-04-27,8333.4,8334.45,8202.35,8203.15
2015-04-28,8216.5,8308.0,8185.15,8264.85
2015-04-29,8278.5,8308.2,8219.2,8236.4
2015-04-30,8228.1,8229.4,8144.75,8204.95
2015-05-04,8231.8,8346.0,8220.45,8342.65
2015-05-05,8341.5,8355.65,8280.6,8321.1
2015-05-06,8316.4,8331.95,8083.0,8092.45
2015-05-07,8079.35,8122.6,7997.15,8047.15
2015-05-08,8134.45,8224.95,8123.45,8190.3
2015-05-11,8247.95,8332.75,8224.65,8320.05
2015-05-12,8326.65,8326.65,8115.3,8125.0
2015-05-13,8183.9,8254.95,8089.8,8237.4
2015-05-14,8232.8,8236.25,8137.3,8221.15
2015-05-15,8241.6,8279.2,8212.2,8254.75
2015-05-18,8285.45,8384.6,8271.95,8376.2
2015-05-19,8356.35,8427.8,8335.0,8357.05
2015-05-20,8399.1,8440.35,8391.45,8413.15
2015-05-21,8437.8,8446.35,8382.5,8419.05
2015-05-22,8433.95,8489.55,8420.6,8448.35
2015-05-25,8438.25,8441.95,8364.15,8366.9
2015-05-26,8378.8,8378.9,8320.05,8354.8
2015-05-27,8293.55,8342.85,8277.95,8337.1
2015-05-28,8350.9,8364.5,8270.15,8319.0
2015-05-29,8327.75,8443.9,8305.7,8432.95
2015-06-01,8417.5,8467.15,8405.4,8422.55
2015-06-02,8443.2,8445.35,8226.05,8232.25
2015-06-03,8236.7,8236.7,8094.15,8148.55
2015-06-04,8160.05,8160.05,8056.75,8136.95
2015-06-05,8121.05,8191.0,8100.15,8113.9
2015-06-08,8129.35,8131.0,8030.55,8036.95
2015-06-09,8026.85,8057.15,8005.15,8015.45
2015-06-10,8030.5,8152.25,8023.8,8125.5
2015-06-11,8159.9,8163.05,7958.25,7964.85
2015-06-12,7961.7,7995.6,7940.3,7991.45
2015-06-15,7988.55,8057.7,7944.85,8006.15
2015-06-16,8009.65,8061.85,7952.35,8057.2
2015-06-17,8086.45,8136.85,8048.95,8089.7
2015-06-18,8114.7,8186.9,8101.8,8178.35
2015-06-19,8203.4,8250.8,8195.65,8232.95
2015-06-22,8262.15,8369.45,8257.4,8352.3
2015-06-23,8383.6,8398.45,8334.95,8381.1
2015-06-24,8395.85,8421.35,8339.2,8339.85
2015-06-25,8339.0,8423.15,8329.5,8415.05
2015-06-26,8395.8,8408.55,8339.7,8382.2
2015-06-29,8247.15,8329.45,8195.65,8326.4
2015-06-30,8319.9,8378.0,8298.95,8371.6
2015-07-01,8375.35,8481.6,8370.15,8462.5
2015-07-02,8473.4,8479.25,8433.2,8440.95
2015-07-03,8440.8,8497.75,8424.15,8486.35
2015-07-06,8396.75,8533.15,8391.8,8523.4
2015-07-07,8526.8,8561.35,8483.85,8516.95
2015-07-08,8439.25,8457.5,8341.4,8354.65
2015-07-09,8369.8,8400.3,8323.0,8335.15
2015-07-10,8369.4,8377.1,8315.4,8357.05
2015-07-13,8403.7,8471.65,8355.4,8461.4
2015-07-14,8467.1,8480.25,8424.1,8442.4
2015-07-15,8466.0,8531.4,8462.95,8526.0
2015-07-16,8545.8,8616.1,8542.9,8610.8
2015-07-17,8626.55,8642.95,8593.15,8613.85
2015-07-20,8620.75,8624.1,8559.0,8602.3
2015-07-21,8606.05,8646.75,8517.9,8531.9
2015-07-22,8512.85,8643.9,8498.65,8631.65
2015-07-23,8644.35,8654.75,8573.8,8586.8
2015-07-24,8587.55,8589.15,8513.5,8527.1
2015-07-27,8490.75,8492.2,8351.55,8362.0
2015-07-28,8377.3,8397.4,8321.75,8341.2
2015-07-29,8369.3,8381.5,8338.45,8380.35
2015-07-30,8417.4,8458.9,8408.3,8429.05
