===============================================================================
Id,accdaily1,len,datetime,open,high,low,close,volume,openinterest,MovingAverage,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,BuySell,len,buy,sell
247,accdaily1,247,2019-01-02 23:59:59.999989,1487.85,1501.95,1477.55,1483.95,669181.0,,MovingAverage,247,737061.9999999999,Broker,247,992638.2999999999,992638.2999999999,BuySell,247,,,Trades - Net Profit/Loss,247,,,Trades - Net Profit/Loss,247,,,DrawDown,247,1.0169354625604543,1.0169354625604543,BuySell,247,,
248,accdaily1,248,2019-01-03 23:59:59.999989,1483.95,1492.7,1445.4,1452.25,451970.0,,MovingAverage,248,737062.9999999999,Broker,248,992638.2999999999,992638.2999999999,BuySell,248,,,Trades - Net Profit/Loss,248,,,Trades - Net Profit/Loss,248,,,DrawDown,248,1.0169354625604543,1.0169354625604543,BuySell,248,,
249,accdaily1,249,2019-01-04 23:59:59.999989,1458.0,1473.0,1437.55,1469.1,532734.0,,MovingAverage,249,737063.9999999999,Broker,249,992638.2999999999,992638.2999999999,BuySell,249,,,Trades - Net Profit/Loss,249,,,Trades - Net Profit/Loss,249,,,DrawDown,249,1.0169354625604543,1.0169354625604543,BuySell,249,,
250,accdaily1,250,2019-01-07 23:59:59.999989,1482.0,1499.75,1471.8,1477.95,438357.0,,MovingAverage,250,737066.9999999999,Broker,250,992638.2999999999,992638.2999999999,BuySell,250,,,Trades - Net Profit/Loss,250,,,Trades - Net Profit/Loss,250,,,DrawDown,250,1.0169354625604543,1.0169354625604543,BuySell,250,,
251,accdaily1,251,2019-01-08 23:59:59.999989,1484.0,1487.5,1468.4,1480.4,312812.0,,MovingAverage,251,737067.9999999999,Broker,251,1041610.2999999999,992757.1,BuySell,251,,1509.8124999999998,Trades - Net Profit/Loss,251,,,Trades - Net Profit/Loss,251,,,DrawDown,251,1.0050890648675057,1.0169354625604543,BuySell,251,,1484.0
252,accdaily1,252,2019-01-09 23:59:59.999989,1484.0,1485.0,1443.25,1454.15,363164.0,,MovingAverage,252,737068.9999999999,Broker,252,992638.2999999999,992638.2999999999,BuySell,252,1421.60125,,Trades - Net Profit/Loss,252,0.0,,Trades - Net Profit/Loss,252,0.0,,DrawDown,252,1.0169354625604543,1.0169354625604543,BuySell,252,1484.0,
253,accdaily1,253,2019-01-10 23:59:59.999989,1455.25,1462.8,1444.0,1447.8,277837.0,,MovingAverage,253,737069.9999999999,Broker,253,992638.2999999999,992638.2999999999,BuySell,253,,,Trades - Net Profit/Loss,253,,,Trades - Net Profit/Loss,253,,,DrawDown,253,1.0169354625604543,1.0169354625604543,BuySell,253,,
254,accdaily1,254,2019-01-11 23:59:59.999989,1455.0,1467.0,1450.4,1458.65,337374.0,,MovingAverage,254,737070.9999999999,Broker,254,992638.2999999999,992638.2999999999,BuySell,254,,,Trades - Net Profit/Loss,254,,,Trades - Net Profit/Loss,254,,,DrawDown,254,1.0169354625604543,1.0169354625604543,BuySell,254,,
255,accdaily1,255,2019-01-14 23:59:59.999989,1461.9,1465.2,1447.05,1459.6,326989.0,,MovingAverage,255,737073.9999999999,Broker,255,992638.2999999999,992638.2999999999,BuySell,255,,,Trades - Net Profit/Loss,255,,,Trades - Net Profit/Loss,255,,,DrawDown,255,1.0169354625604543,1.0169354625604543,BuySell,255,,
256,accdaily1,256,2019-01-15 23:59:59.999989,1465.0,1498.4,1465.0,1483.45,551514.0,,MovingAverage,256,737074.9999999999,Broker,256,992638.2999999999,992638.2999999999,BuySell,256,,,Trades - Net Profit/Loss,256,,,Trades - Net Profit/Loss,256,,,DrawDown,256,1.0169354625604543,1.0169354625604543,BuySell,256,,
